#GC Content (%)	Sample
1.0	0.0013605442176870747
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.03129251700680272
33.0	0.03809523809523809
34.0	0.08299319727891155
35.0	0.058503401360544216
36.0	0.1129251700680272
37.0	0.14149659863945574
38.0	0.0761904761904762
39.0	0.06938775510204082
40.0	0.04489795918367347
41.0	0.012244897959183673
42.0	0.010884353741496598
43.0	0.006802721088435374
44.0	0.008163265306122448
45.0	0.01768707482993197
46.0	0.04081632653061225
47.0	0.02040816326530612
48.0	0.05850340136054422
49.0	0.020408163265306124
50.0	0.01904761904761905
51.0	0.07755102040816327
52.0	0.0435374149659864
53.0	0.006802721088435374
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
